"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;4;1;00;15;-4,9;3,6;53,6;0,3;6,2;323,9;-6999;0,0;997,0
2005;4;1;00;30;-5,0;3,6;53,5;0,2;2,0;229,5;-6999;0,0;997,0
2005;4;1;00;45;-5,0;3,6;53,4;0,3;5,7;299,8;-6999;0,0;997,0
2005;4;1;01;00;-5,1;3,3;54,3;0,3;3,2;311,8;-6999;0,0;997,0
2005;4;1;01;15;-5,1;3,2;54,6;0,4;2,6;312,2;-6999;0,0;998,0
2005;4;1;01;30;-5,2;2,8;55,8;0,2;4,9;300,0;-6999;0,0;998,0
2005;4;1;01;45;-5,1;2,5;57,2;0,2;5,4;310,2;-6999;0,0;998,0
2005;4;1;02;00;-5,1;2,2;58,7;0,2;2,8;309,6;-6999;0,0;997,0
2005;4;1;02;15;-5,1;2,2;58,6;0,3;1,4;304,7;-6999;0,0;997,0
2005;4;1;02;30;-5,1;2,1;59,0;0,4;4,5;302,7;-6999;0,0;998,0
2005;4;1;02;45;-5,0;2,0;59,7;0,3;3,9;298,4;-6999;0,0;997,0
2005;4;1;03;00;-5,1;1,9;59,8;0,4;3,4;300,8;-6999;0,0;997,0
2005;4;1;03;15;-5,1;1,7;60,8;0,2;2,2;310,4;-6999;0,0;997,0
2005;4;1;03;30;-5,0;1,6;61,5;0,2;1,1;301,7;-6999;0,0;997,0
2005;4;1;03;45;-5,0;1,4;62,4;0,3;3,9;306,0;-6999;0,0;998,0
2005;4;1;04;00;-4,9;1,2;63,6;0,3;3,8;305,4;-6999;0,0;998,0
2005;4;1;04;15;-4,9;1,2;63,7;0,3;1,9;301,3;-6999;0,0;998,0
2005;4;1;04;30;-5,0;1,0;64,4;0,3;0,7;307,2;-6999;0,0;998,0
2005;4;1;04;45;-5,0;0,7;65,7;0,2;3,8;308,9;-6999;0,0;998,0
2005;4;1;05;00;-4,9;0,6;66,8;0,3;1,3;305,6;-6999;0,0;998,0
2005;4;1;05;15;-4,9;0,5;67,1;0,5;0,0;304,9;-6999;0,0;998,0
2005;4;1;05;30;-4,9;0,6;66,8;1,9;0,0;307,6;-6999;0,0;998,0
2005;4;1;05;45;-4,9;0,3;68,3;5,6;0,0;305,6;-6999;0,0;999,0
2005;4;1;06;00;-4,8;0,2;69,2;20,9;1,9;298,3;-6999;0,0;999,0
2005;4;1;06;15;-4,7;0,4;68,6;48,5;0,0;299,9;-6999;0,0;999,0
2005;4;1;06;30;-4,8;0,6;67,3;83,2;0,0;298,3;-6999;0,0;999,0
2005;4;1;06;45;-4,6;1,1;65,9;122,8;0,0;278,3;-6999;0,0;999,0
2005;4;1;07;00;-4,8;1,7;61,9;165,4;0,0;256,1;-6999;0,0;999,0
2005;4;1;07;15;-4,8;2,5;58,7;210,9;0,0;149,3;-6999;0,0;1000,0
2005;4;1;07;30;-4,7;3,2;56,2;255,7;0,0;153,9;-6999;0,0;1000,0
2005;4;1;07;45;-4,6;3,7;54,7;299,0;0,2;174,0;-6999;0,0;1000,0
2005;4;1;08;00;-4,8;4,1;52,5;346,0;1,6;123,3;-6999;0,0;1000,0
2005;4;1;08;15;-4,5;4,4;52,2;389,6;2,4;125,9;-6999;0,0;1000,0
2005;4;1;08;30;-4,6;4,7;51,0;433,8;5,3;102,5;-6999;0,0;1000,0
2005;4;1;08;45;-4,8;5,0;49,0;473,2;4,8;125,5;-6999;0,0;1000,0
2005;4;1;09;00;-5,0;5,3;47,3;515,0;5,8;134,5;-6999;0,0;1000,0
2005;4;1;09;15;-5,1;5,7;45,7;553,3;3,4;134,1;-6999;0,0;1000,0
2005;4;1;09;30;-5,4;6,1;43,5;585,4;6,2;126,5;-6999;0,0;1000,0
2005;4;1;09;45;-5,6;5,8;43,6;613,9;7,0;144,5;-6999;0,0;1000,0
2005;4;1;10;00;-5,3;6,2;43,4;639,2;7,1;130,5;-6999;0,0;1001,0
2005;4;1;10;15;-5,3;6,9;41,6;671,7;4,7;123,2;-6999;0,0;1001,0
2005;4;1;10;30;-5,5;6,8;41,2;692,3;7,6;129,0;-6999;0,0;1001,0
2005;4;1;10;45;-5,3;6,8;41,7;714,0;7,0;132,7;-6999;0,0;1001,0
2005;4;1;11;00;-5,0;7,0;42,2;727,0;8,2;118,3;-6999;0,0;1001,0
2005;4;1;11;15;-4,5;7,4;42,5;744,0;5,4;124,2;-6999;0,0;1001,0
2005;4;1;11;30;-4,2;8,7;39,9;746,0;4,3;137,9;-6999;0,0;1001,0
2005;4;1;11;45;-4,2;8,9;39,4;754,0;4,9;123,3;-6999;0,0;1001,0
2005;4;1;12;00;-4,2;9,0;39,0;752,0;3,0;159,9;-6999;0,0;1000,0
2005;4;1;12;15;-4,5;9,1;37,8;758,0;4,8;137,4;-6999;0,0;1000,0
2005;4;1;12;30;-4,3;9,4;37,6;757,0;5,3;142,6;-6999;0,0;1000,0
2005;4;1;12;45;-4,4;8,9;38,7;751,0;6,7;150,8;-6999;0,0;1000,0
2005;4;1;13;00;-4,0;9,6;38,1;744,0;5,9;154,5;-6999;0,0;1000,0
2005;4;1;13;15;-4,0;9,8;37,5;733,0;4,2;124,3;-6999;0,0;1000,0
2005;4;1;13;30;-4,0;9,9;37,3;713,0;5,9;123,0;-6999;0,0;1000,0
2005;4;1;13;45;-4,2;9,3;38,3;698,1;6,6;125,0;-6999;0,0;1000,0
2005;4;1;14;00;-3,7;10,2;37,5;667,6;4,1;145,5;-6999;0,0;1000,0
2005;4;1;14;15;-3,5;10,3;37,6;643,2;4,4;127,9;-6999;0,0;1000,0
2005;4;1;14;30;-3,5;10,6;37,1;617,1;4,5;157,6;-6999;0,0;1000,0
2005;4;1;14;45;-3,2;11,2;36,3;583,0;2,7;150,3;-6999;0,0;1000,0
2005;4;1;15;00;-3,7;10,5;36,8;544,8;5,2;150,8;-6999;0,0;1000,0
2005;4;1;15;15;-3,9;10,4;36,5;512,5;6,4;100,9;-6999;0,0;1000,0
2005;4;1;15;30;-4,1;10,8;35,0;465,6;2,1;119,4;-6999;0,0;1000,0
2005;4;1;15;45;-4,2;10,7;34,9;425,1;4,6;128,5;-6999;0,0;1000,0
2005;4;1;16;00;-4,1;10,5;35,5;388,0;5,6;114,3;-6999;0,0;999,0
2005;4;1;16;15;-4,0;10,8;35,2;341,0;2,7;148,3;-6999;0,0;999,0
2005;4;1;16;30;-3,8;10,6;36,1;301,9;6,3;127,4;-6999;0,0;999,0
2005;4;1;16;45;-4,0;10,6;35,6;254,2;3,7;139,6;-6999;0,0;999,0
2005;4;1;17;00;-4,3;10,4;35,3;205,2;5,1;112,3;-6999;0,0;999,0
2005;4;1;17;15;-4,3;10,4;35,4;158,2;2,9;140,6;-6999;0,0;999,0
2005;4;1;17;30;-4,1;10,4;35,7;119,1;3,4;152,5;-6999;0,0;999,0
2005;4;1;17;45;-4,4;10,2;35,5;77,6;2,2;165,0;-6999;0,0;999,0
2005;4;1;18;00;-4,4;10,1;35,7;43,8;0,0;152,1;-6999;0,0;999,0
2005;4;1;18;15;-4,2;9,8;36,9;16,9;0,2;113,6;-6999;0,0;999,0
2005;4;1;18;30;-4,0;9,6;38,2;4,4;0,5;146,2;-6999;0,0;999,0
2005;4;1;18;45;-3,7;9,1;40,3;1,7;0,0;202,9;-6999;0,0;1000,0
2005;4;1;19;00;-3,6;8,5;42,4;0,5;0,1;357,5;-6999;0,0;1000,0
2005;4;1;19;15;-3,6;8,2;43,0;0,4;0,0;356,5;-6999;0,0;1000,0
2005;4;1;19;30;-3,8;7,9;43,5;0,4;0,0;353,9;-6999;0,0;1000,0
2005;4;1;19;45;-3,9;7,6;44,0;0,3;0,0;323,4;-6999;0,0;1000,0
2005;4;1;20;00;-3,8;7,4;44,8;0,4;0,0;326,3;-6999;0,0;1000,0
2005;4;1;20;15;-3,9;7,3;44,9;0,3;0,0;330,5;-6999;0,0;1000,0
2005;4;1;20;30;-3,8;7,2;45,5;0,3;3,0;326,5;-6999;0,0;1000,0
2005;4;1;20;45;-3,8;7,8;43,8;0,2;3,3;300,5;-6999;0,0;1000,0
2005;4;1;21;00;-3,9;7,0;45,7;0,2;2,3;320,5;-6999;0,0;1000,0
2005;4;1;21;15;-3,7;6,8;47,0;0,1;5,3;323,0;-6999;0,0;1000,0
2005;4;1;21;30;-3,7;6,8;47,0;0,2;4,7;330,7;-6999;0,0;1000,0
2005;4;1;21;45;-3,8;6,5;47,8;0,3;5,3;327,8;-6999;0,0;1000,0
2005;4;1;22;00;-3,8;6,8;46,8;0,2;5,1;325,7;-6999;0,0;1000,0
2005;4;1;22;15;-4,0;6,9;45,9;0,3;2,7;321,4;-6999;0,0;1000,0
2005;4;1;22;30;-3,9;7,4;44,4;0,2;0,0;287,8;-6999;0,0;1000,0
