"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;3;11;16;15;-3,4;2,5;65,0;68,2;20,9;-0,2;-6999;0,0;-6999;
2005;3;11;16;30;-3,3;2,6;65,3;77,2;18,9;-0,2;-6999;0,0;-6999;
2005;3;11;16;45;-3,1;2,7;65,4;53,6;18,6;-0,2;-6999;0,0;-6999;
2005;3;11;17;00;-3,1;2,6;66,3;30,4;15,4;-0,1;-6999;0,0;-6999;
2005;3;11;17;15;-2,8;2,7;66,9;29,1;12,2;-0,1;-6999;0,0;-6999;
2005;3;11;17;30;-2,7;2,8;67,0;24,2;13,4;-0,1;-6999;0,0;-6999;
2005;3;11;17;45;-2,7;2,6;68,2;12,1;14,2;-0,1;-6999;0,0;-6999;
2005;3;11;18;00;-2,6;2,4;69,3;3,1;14,6;-0,1;-6999;0,0;-6999;
2005;3;11;18;15;-2,6;2,3;69,9;0,5;15,5;-0,2;-6999;0,0;-6999;
2005;3;11;18;30;-2,5;2,5;69,5;0,1;16,5;-0,1;-6999;0,0;-6999;
2005;3;11;18;45;-2,5;2,5;69,7;0,0;17,0;-0,2;-6999;0,0;-6999;
2005;3;11;19;00;-2,5;2,7;68,6;0,1;17,0;-0,1;-6999;0,0;-6999;
2005;3;11;19;15;-2,6;2,9;67,2;0,1;18,5;-0,1;-6999;0,0;-6999;
2005;3;11;19;30;-2,5;2,9;67,6;0,2;14,6;-0,1;-6999;0,0;-6999;
2005;3;11;19;45;-2,6;2,8;67,6;0,1;18,4;-0,1;-6999;0,0;-6999;
2005;3;11;20;00;-2,5;3,0;67,2;0,1;17,9;-0,1;-6999;0,0;-6999;
2005;3;11;20;15;-2,5;3,4;65,3;0,1;19,3;-0,2;-6999;0,0;-6999;
2005;3;11;20;30;-2,4;3,9;63,4;0,1;22,0;-0,1;-6999;0,0;-6999;
2005;3;11;20;45;-2,4;4,1;62,7;0,1;23,1;-0,2;-6999;0,0;-6999;
2005;3;11;21;00;-2,3;4,2;62,4;0,0;24,8;-0,2;-6999;0,0;-6999;
2005;3;11;21;15;-2,2;4,3;62,5;0,1;24,9;-0,1;-6999;0,0;-6999;
2005;3;11;21;30;-2,2;4,4;62,4;0,1;25,4;-0,1;-6999;0,0;-6999;
2005;3;11;21;45;-2,0;4,5;62,8;0,1;27,3;-0,2;-6999;0,0;-6999;
2005;3;11;22;00;-2,0;4,6;62,4;0,1;27,1;-0,2;-6999;0,0;-6999;
2005;3;11;22;15;-2,0;4,6;62,3;0,0;27,6;-0,1;-6999;0,0;-6999;
2005;3;11;22;30;-1,9;4,7;62,3;0,0;25,7;-0,1;-6999;0,0;-6999;
2005;3;11;22;45;-1,9;4,8;62,0;0,1;25,8;-0,1;-6999;0,0;-6999;
2005;3;11;23;00;-1,9;4,8;62,0;0,1;26,2;-0,2;-6999;0,0;-6999;
2005;3;11;23;15;-1,7;4,9;62,2;0,1;27,0;-0,2;-6999;0,0;-6999;
2005;3;11;23;30;-1,7;5,0;62,0;0,1;27,8;-0,2;-6999;0,0;-6999;
2005;3;11;23;45;-1,7;4,9;62,5;0,1;26,0;-0,1;-6999;0,0;-6999;
2005;3;11;24;00;-1,6;4,8;63,3;0,1;24,9;-0,1;-6999;0,0;-6999;
2005;3;12;00;15;-1,5;4,8;63,8;0,1;26,7;-0,2;-6999;0,0;-6999;
2005;3;12;00;30;-1,5;4,7;64,3;0,1;24,7;-0,2;-6999;0,0;-6999;
2005;3;12;00;45;-1,4;4,7;64,8;0,1;22,0;-0,1;-6999;0,0;-6999;
2005;3;12;01;00;-1,3;4,7;64,9;0,1;21,1;-0,1;-6999;0,0;-6999;
2005;3;12;01;15;-1,3;4,8;64,6;0,1;22,4;-0,1;-6999;0,0;-6999;
2005;3;12;01;30;-1,3;4,8;64,4;0,0;24,8;-0,1;-6999;0,0;-6999;
2005;3;12;01;45;-1,3;4,9;64,2;0,1;23,5;-0,1;-6999;0,0;-6999;
2005;3;12;02;00;-1,2;5,0;64,3;0,1;26,4;-0,2;-6999;0,0;-6999;
