t_VL;t_Q;Q_H;P;COP;Q_H;P;COP;Q_H;P;COP
35;-20;11.6;5.5;2.1;12.2;5.8;2.1;14.6;7.3;2
35;-15;14.2;5.7;2.5;16.2;6.9;2.4;19.4;7.8;2.5
35;-10;15.9;5.7;2.8;18.5;7;2.7;21.9;7.8;2.8
35;-7;17.6;5.7;3.1;20.8;7.1;3;24.4;7.9;3.1
35;-2;19.2;5.8;3.3;22.9;7.1;3.2;27.4;8.4;3.3
35;2;20.8;5.9;3.5;25;7.1;3.5;30.4;8.9;3.4
35;7;27.2;6.5;4.2;32;7.7;4.2;37.8;9;4.2
35;10;29;6.4;4.5;32.8;7.6;4.3;38.4;8.9;4.3
35;15;30.5;6.6;4.7;34;7.7;4.4;39.4;9;4.4
35;20;32;6.7;4.8;35.2;7.7;4.6;40.4;9;4.5
45;-15;13.6;6.8;2;15.6;8.2;1.9;18.6;9.8;1.9
45;-10;15.4;7;2.2;17.8;8.4;2.1;21.2;9.8;2.2
45;-7;17.2;7.1;2.4;20;8.6;2.3;23.8;9.9;2.4
45;-2;18.7;7.2;2.6;22.2;8.7;2.6;25.9;10;2.6
45;2;20.2;7.2;2.8;24.4;8.7;2.8;28;10;2.8
45;7;26;7.6;3.4;30.8;9.3;3.3;36;10.3;3.5
45;10;27;7.7;3.5;32.6;9.3;3.5;37.2;10.6;3.5
45;15;28.7;7.8;3.7;33.8;9.5;3.6;38.4;10.6;3.6
45;20;30.4;7.8;3.9;35;9.6;3.6;39.2;10.7;3.7
55;-2;17.5;8.7;2;21.4;10.5;2;24.2;11.8;2.1
55;2;19;9;2.1;23.4;10.6;2.2;26.2;11.9;2.2
55;7;24.4;9;2.7;29.8;11.4;2.6;33.8;12.5;2.7
55;10;26.2;9;2.9;32.4;11.6;2.8;35.6;12.7;2.8
55;15;28.1;9.1;3.1;33.4;11.5;2.9;37.4;12.7;2.9
55;20;30;9.1;3.3;34.6;11.5;3;38.2;12.8;3
